idiom,meaning,response,similarity_score
Age Before Beauty," Something said by a younger woman to an older one, for instance allowing her to pass through a doorway",Priority is given to age over physical appearance.,0.5441841595299022
Agree To Disagree, Accept or set aside a disagreement,To have differing opinions but still maintain a cordial relationship.,0.7185028869203993
Agreement In Principle," In a negotiation, an agreement in which not all details have been worked out",A tentative understanding or accord on the main points of an issue.,0.7535185316170737
Aha Moment," Sudden realization, the point at which one suddenly understands something",Eureka moment.,0.6088080769306972
Ahead Of One�s Time, Offering ideas not yet in general circulation; highly creative,"Being ahead of one's time means being more intelligent, perceptive, or forward-thinking than others in your situation.",0.5245755088257528
Ahead Of The Curve," Innovative, devising new ideas in advance of others",Innovative or forward-thinking.,0.8352596103739537
Ahead Of The Curve, Offering ideas not yet in general circulation; highly creative,Innovative or forward-thinking.,0.6815239559172168
Ahead Of The Game, Making faster progress than anticipated; ahead of schedule,In advance of what is to come; prepared.,0.6863848473413994
Air Rage, Angry behavior inside an airplane,Anger in the air.,0.7018562206664558
Airy Fairy," whimsical, nonsensical, impractical","A nonsense phrase!

The idiomatic translation of ""Airy Fairy"" is:

""Ahead of one's time""

This phrase suggests that someone is too idealistic, impractical, or unrealistic about the world around them.",0.6550425605451398
Albatross Around One�s Neck, Something from one’s past that acts as a hindrance,A constant reminder of one's guilt or responsibility.,0.6144402414824418
Alive and Kicking, In good health despite health problems,Thriving.,0.6375857681506634
All Along, For the entire time something has been happening,Throughout,0.62532415658844
All And Sundry, Everyone(separately) Each one.,Everyone.,0.8471807907430513
All Bark And No Bite, Tending to make verbal threats but not deliver on them,Threat without substance.,0.7238642438706606
All Bets Are Off, What seemed certain is now unclear,"The idiomatic expression ""All bets are off"" translates to:

Everything is up for grabs.",0.5373126800658392
All Dressed Up And Nowhere To Go, Prepared (with clothing or otherwise) for an event that does not occur,Dressed but without purpose.,0.656137018306409
All Ears," Listening willingly, waiting for an explanation",Attentive listener.,0.6971144365489345
All Eyes And Ears, Attentive,"""Under Surveillance""",0.4215061760419699
All Eyes Are On, Watching alertly or attentively. Having prominent eyes. Everyone is paying attention to,"The most concise and accurate translation of ""All Eyes Are On"" is:

Attention is focused on.",0.7598665819106876
All Fur Coat And No Knickers," Superficially attractive, physically or otherwise","A British idiom!

This translates to:

""All Talk and No Action""

In other words, someone who talks big but doesn't actually do anything.",0.4759138067723431
All Hands on Deck, Everyone must help.,"""Everyone's help is needed.""",0.9034807312511967
All Hat And No Cattle," Pretentious, full of bluster",Empty promises.,0.4565332485435071
All Hell Breaks Loose, The situation becomes chaotic.,Complete chaos erupts.,0.8778582432600607
All In A Day�s Work (Excl.)," That’s what I’m here for; although I have accomplished something, it is part of what I’m expected to do",Routine task.,0.5549396139798088
All In Good Time, Eventually; at a more favorable time in the future. This phrase encourages one to be patient.,Patience is a virtue.,0.7291001302943451
All in One Piece, Safely,"""Whole cloth""",0.39009468400275255
All It�s Cracked Up To Be, As good as claims or reputation would suggest,"Not exactly. The correct translation is:

""Everything it's cracked up to be""

This means that something is not as good or exciting as people have made it out to be.",0.5192690834766315
All Mouth And No Trousers," Superficial, engaging in empty, boastful talk, but not of real substance",Talk big but do nothing.,0.6205880534758647
All Over But The Shouting, Certain to end in a specific way,"""Almost over; nearly finished.""",0.6553968487284243
All Over Hell�S Half Acre, All over the place; everywhere.,In a state of utter chaos.,0.6511533038346542
All Over The Board," Everywhere, in many different locations",Mixed bag.,0.47152185345182823
All Over The Map, Everywhere; in many different locations,Disorganized.,0.6127820257615513
All Over The Place, Everywhere; in many different locations,Disorganized.,0.6127820257615513
All Rights Reserved, Said of a published work; all reproduction rights are asserted by the copyright holder,Copyrighted Material,0.701348372619045
All Roads Lead to Rome, There is more than one effective way to do something; many different methods will produce the same result,"A universal truth!

This idiom translates to:

""Every path leads to success or prosperity.""

In other words, no matter which route you take in life, it will ultimately lead to good fortune or success.",0.5900248728815699
All Set," Ready, prepared, finished","""Ready to go""",0.7394782661833892
All Sizzle And No Steak, Failing to live up to advance promotion or reputation,Empty promises.,0.45561497695445174
All Talk and No Trousers, Prone to empty boasts,Empty Threats,0.5948248767595748
All Told, With everything taken into consideration,In total; altogether.,0.6935163917229978
All That Jazz," Similar things, similar qualities, et cetera","The idiom ""All That Jazz"" translates to:

""The whole shebang""

(This is an informal expression that means everything, including all the details and accessories.)",0.5290713674286686
All The Marbles, The entire prize or reward,"The idiomatic expression ""all the marbles"" translates to:

Having everything in one's favor; having a decisive advantage.",0.644040545257144
All The Rage, Very fashionable,Extremely popular.,0.5188156325747875
All the Rage, Very much in fashion,Extremely popular.,0.4900790489384657
All The Same, Anyway; nevertheless; nonetheless.,Makes no difference.,0.41650044591457897
All The Tea In China," Great wealth, a large payment",A vast quantity; an enormous amount.,0.7276222173547136
All Things Being Equal, In the event that all aspects of a situation remain the same,Equal Opportunity.,0.4901945663993962
All Things Considered, Taking all factors into consideration,Taking everything into account.,0.7727366576643832
All Thumbs, Clumsy,Clumsy.,0.9795128216585396
All Very Well, True to a certain extent,"""Fine by me.""",0.47648368546568043
All Wet, Completely mistaken,Completely mistaken or wrong.,0.9126975869605409
Along The Lines Of," In general accordance with, in the same general direction as",Similar to,0.6166397536716409
Amateur Hour, A display of incompetence,A mess; chaos.,0.6000929569456419
Amber Gambler, Someone who accelerates to try to cross an intersection before a traffic light turns red,"A ""gambler"" is not an idiomatic expression. However, I found that ""amber gambler"" might be referring to a specific type of person.

An ""amber gambler"" is someone who invests in amber, hoping to sell it at a higher price later, often with the intention of making a profit.",0.5178281605371198
Amber Nectar, Beer,Honey of Gold,0.3932469394929812
American Dream (The), The belief among Americans that hard work leads to material success,A life of freedom and prosperity achieved through hard work and determination.,0.7171818849660994
An Apple a Day Keeps the Doctor Away, Eating healthy foods will keep one from getting sick (and needing to see a doctor),A healthy habit.,0.6763191603694976
An Axe," To Grind A grievance, a disagreement with someone that justifies confrontation.","""Cutting to the chase""",0.5476378856318649
An Early Bird," A person who gets up early in the morning, or who starts work earlier than others.",Early riser.,0.7237865675714727
An Eye for an Eye, Justice in which reparation or vengeance exactly matches the harm caused to the victim,Retaliation.,0.6513398962488386
An Offer One Can�t Refuse, An extremely attractive offer,"A tempting fate.

Translation: An opportunity that is impossible to decline.",0.6496200143113727
Ancient History," Something, such as a disagreement, that happened long ago and ought to be forgotten","""Old news.""",0.552769091214836
And All That," Et cetera, and so on.","The idiomatic expression ""and all that"" is translated to:

""And everything else.""",0.5905950985341037
And Counting, And the number just mentioned is increasing (or decreasing),"""Plus �a change, plus c'est la m�me chose."" (The more things change, the more they remain the same.)",0.5476226960496421
And Change, And an additional amount of money that’s less than the next round number,"""Out of the frying pan and into the fire.""",0.40080824279541655
And His Mother," An intensifier for an inclusive noun or phrase such as everyone, everybody","""His mother""",0.4450298270274826
And So Forth," Indicates that a list continues in a similar manner, etc.","""And so forth"" is an idiomatic expression that translates to:

""...and so on""

This phrase is used to indicate that something continues in a similar manner, often implying a long or indefinite list of items.",0.6842187975196038
And So On," Indicates that a list continues in a similar manner, etc.",Ad infinitum (Latin),0.5126526871720813
And The Like," And other similar items, etc.","""Et cetera"" (Latin for ""and so on"")",0.5371213896756435
And Then Some, And even more than what has just been mentioned,A bit extra.,0.5042609295107789
Another Nail In One�s Coffin," Something that leads to someone’s death, literally or figuratively.",A final blow to something that was already doomed.,0.5813075532113756
Answer Back, Respond impertinently; to talk back.,Retaliate.,0.565502734398013
Ants In Your Pants, Restlessness,Restless energy.,0.884710367775876
Any Port in a Storm," If you’re in trouble, you’ll turn to anything that improves the situation.",A refuge from trouble.,0.7091787961708269
"Any Tom, Dick or Harry", Any ordinary person,"""Anyone""",0.588026696832955
Angel�s Advocate, Someone who takes a positive outlook on an idea or proposal,Devil's advocate.,0.4885645046428489
Angle For," Aim toward something, try to obtain something, often indirectly or secretly",To fish for compliments.,0.5157560681466298
Apple of One�s Eye," A favorite person or thing, a person especially valued by someone","A cherished person, especially a child.",0.76513186188112
Apple of Someone�s Eye, The person that someone loves most of all and is very proud of,"A cherished person, especially a child.",0.7563299844096512
Apples and Oranges," Of two different classes, not comparable",Comparing apples and oranges.,0.5899435123873004
Apples and Oranges," Of two different classes, not comparable",Incomparable things.,0.5600765587020764
Arm Candy, An attractive woman accompanying a powerful or famous man at a social event,A trophy date.,0.5693554530765236
Armed to the Teeth, Carrying many weapons,Well-equipped or prepared.,0.5105694718690854
Around the Clock, At all times,Non-stop.,0.672175313936008
As American as Apple Pie, Very or typically American,Completely typical of America.,0.8055295629516013
As Far as I Can Throw (someone), Only slightly,Far beyond what is physically possible.,0.4310886479325745
As Fit as A Fiddle, To be healthy and physically fit,In good physical condition.,0.7300060809988638
As Pale as A Ghost, Extremely pale,Extremely pale or white.,0.870922272126019
As Pale as Death, Extremely pale,Dead pale.,0.8111004757946999
As Poor as a Church Mouse, Very poor,Very poor.,0.9826027546537774
As Red as A Cherry, Very red,"The idiomatic translation is:

""Very angry""",0.44472737006300467
Asleep at the Wheel (Switch), not paying attention to one’s work; not doing one’s job diligently.,Inattentive to important details.,0.6944575563375271
At Death�s Door, Very near death,On one's deathbed.,0.6510774330147339
At Each Other�s Throats, Constantly and strongly arguing,Arguing constantly.,0.9323131477504223
At Loggerheads, In a state of persistent disagreement,In disagreement or conflict to the point of being unable to work together.,0.8042144708486463
At Loggerheads, In a state of persistent disagreement.,In disagreement or conflict to the point of being unable to work together.,0.8183555225961517
At Sixes and Sevens, Someone is in a state of confusion or not very well organized.,In disarray; confused.,0.7842752840858539
At the Drop of a Hat," Spontaneously, suddenly",Easily persuaded or convinced.,0.5021361138454488
At the Eleventh Hour, It happens when it is almost too late.,At the last minute.,0.725106652993347
At the End of One�s Rope (Tether), Running out of endurance or patience,Out of options.,0.5887873318518222
At the End of the Day, In the final analysis; when all is said and done,Ultimately.,0.5896623296087382
At Wit�s End, Frustrated because all measures to deal with something have failed,Completely stumped.,0.5213418057805569
Babe In Arms, A baby being carried,Infant in arms.,0.7395994377398448
Babe In The Woods," An innocent, naive person",A naive person.,0.900191414131198
Babe Magnet, A man to whom women are attracted,Charmer.,0.4969235476986
Baby Blues, Blue eyes.,Postpartum depression.,0.3193715695718516
Baby Boomer," A person born in the years following World War II, when there was a temporary marked increase in the birth rate",Member of the post-World War II generation born between 1946 and 1964.,0.8254499548321236
Babysitter Test," An evaluation of the ease of use of household appliances, especially remote control devices","A ""babysitter test"" is an idiomatic expression that translates to:

""A trial by ordeal.""",0.4862834409955593
Back And Forth," Dialogue, negotiations","To go back and forth is to:

Alternate between two opposing sides or opinions.",0.5660092899829864
Back At You, Same to you (used to return a greeting or insult),A retort.,0.5757056921451591
Back Burner (On The), Not urgent; set aside until later,Put on hold.,0.6330065494916952
Back Forty," Remote, inaccessible land","The ""back forty"" is an American idiom that refers to the rural area of a farm or estate, specifically the land at the rear of the property. It can also be used more broadly to refer to any remote or out-of-the-way place.

Translation: The countryside or rural areas.",0.6071426179703385
Back in the Day," Formerly, when I was younger, in earlier times",In the good old days.,0.6602729678322512
Back Of Beyond, A remote location,A remote and inaccessible place.,0.7752817038167803
Back Office, Support services for a business,Administrative department.,0.4609234168755374
Back on One�s Feet, Physically healthy again,"To be back on one's feet means to have recovered from an illness, injury, or difficult situation and returned to normal life.",0.6674109531667183
Back to Square One, Back to the start,To start over from the beginning.,0.7715608212456431
Back to Square One, Forced to begin something again,To start over from the beginning.,0.7597614131483714
Back to the Drawing Board, Forced to begin something again,"""Start over from scratch.""",0.723069828842114
Back to the Salt Mine(s), We have to go back to work.,"""Back to the salt mines""

Translation: ""Back to work""",0.6992517125241948
Back to the Salt Mines, It’s time for me (us) to go back to work,"""Back to the salt mines""

Translation: Back to work.",0.6995453549412554
Back the Wrong Horse, To support the losing side,"To have made a poor investment of time, money, or emotional resources.",0.4944985336446875
Backing and Filling, Delaying a decision by making small changes or arguing about small details,Retreating from one's commitments.,0.5163077984718775
Backseat Driver, A passenger in a car who gives unwanted advice to the driver is called a backseat driver.,Passenger who gives unwanted driving instructions.,0.7897315553973538
Backseat Driver," Someone who likes to give (often annoying) advice to the driver of a car, or the leader of some other enterprise",Passenger who gives unwanted driving instructions.,0.7430410871847888
Bad Apple," A discontented, trouble making, or dishonest person",A rotten one.,0.5044207294787469
Bad Blood, Enmity or hatred that stems from something in the past,A feud or animosity exists between two people.,0.7280061597223022
Bad Egg, Someone who is not to be trusted,"A bad egg.

Translation: A person who is unpleasant, untrustworthy, or of poor character.",0.6869725294944072
Bad Taste In One�s Mouth," Unease, a feeling that something unspecified is wrong in a situation",A lingering sense of disgust.,0.6240473232034954
Bag of Tricks, A set of methods or resources,"A bag of tricks. 

Translation: A collection of clever or cunning ideas, plans, or techniques.",0.6349453563290568
Bail Out," To rescue someone from a bad situation, to shield someone from the consequences of his or her actions",To escape responsibility or difficulties by leaving or abandoning something.,0.733095322450644
Ball and Chain, 1. One’s spouse (derogatory but often affectionate); 2. an ongoing burden,A burden or responsibility that weighs heavily on one's life.,0.6911684705554194
Ballpark Figure, A rough estimate,A rough estimate.,0.9829274247451999
Banner Year, A year marked by strong successes,"A banner year is equivalent to ""a record-breaking year"".",0.7029750521075554
Bang for Your Buck, Value for money,Value for money.,0.9871616289547642
Bang for Your Buck, Value for your money,Value for money.,0.8099732267791941
Bang One�s Head Against the Wall (Against a Brick Wall),Try repeatedly to do something without making progress,To be frustrated to the point of exasperation.,0.6505553900406286
Baptism by Fire, A difficult task given right after one has assumed new responsibilities,Rough initiation.,0.5530943575935278
Bar Fly (or Barfly), Someone who spends much of his or her time in bars,Regular patron of a bar.,0.7122674725991882
Bare One�s Heart (Soul), To confess one’s deepest secrets,Vulnerably expose oneself.,0.6567765637206042
Bark Up the Wrong Tree, Pursue a mistaken approach or belief; be wrong in a course of action,Misjudge a situation.,0.7045183650900682
Basket Case, So upset or stunned that one is unable to function; in a hopeless condition,A person who is completely helpless or incompetent.,0.716380464277049
Bat/Play for Both Teams, To be bisexual.,To act in one's own interest while pretending to be impartial.,0.4607758377087874
Bat/Play for the Other Team, To be homosexual.,To work against one's own interests.,0.5478863735051338
Batten Down the Hatches, Prepare for a storm,Prepare for trouble.,0.6774692792699097
Batten Down the Hatches, Prepare for a storm,Prepare for trouble.,0.6774692792699097
Be A Barrel of Laughs," To be fun, funny, and pleasant.",To be hilarious.,0.6765667559542243
Be A Cold Day In Hell, (Something that) will never happen,"To be as unlikely to happen as it would on a cold day in hell (which is already hot). 

Translation: To be impossible.",0.6983384626625899
Be An Item, Two people are an item when they are having a romantic relationship,"""Be an item"" is an English idiom that translates to:

""Be on the agenda""",0.600879839388199
Be Footloose and Fancy-Free," To be free of responsibilities, including romantic commitments",To be free from worry or responsibility.,0.7659396496967024
Be Head Over Heels (In love), Be in love with somebody very much,To be completely and utterly infatuated with someone.,0.7993292576352404
Be in Seventh Heaven, Extremely happy,To be on cloud nine.,0.43536334971469137
Be in Two Minds (about something)," To not be certain about something, or to have difficulty in making a decision",To be indecisive.,0.7783490694113999
Be Like Chalk and Cheese, Things or people who are very different and have nothing in common,Completely different.,0.6746617256662121
Be Lovey � Dovey, Expressing your love in public by constantly kissing and hugging,Swoon over someone.,0.5230116217376792
Be on the Mend, Be improving after an illness,To recover from an illness or injury.,0.8133570992610881
Be Snowed Under, Be extremely busy with work or things to do,Overwhelmed.,0.572753852134376
Bean Counters," Accountants, finance professionals in an organization",Accountants.,0.7932114478320407
Bean Counters," Accountants, finance professionals in an organization",Accountants.,0.7932114478320407
Beat Around the Bush, To speak in a roundabout way in order to avoid confronting an unpleasant topic,Avoid talking directly or plainly about something; to refer to it indirectly.,0.7273963251588264
Beat Someone To The Draw, To accomplish or obtain something more quickly than someone else,To outmaneuver someone.,0.623329746175546
Beat Someone to the Punch, Do something before or faster than someone else,Get there first.,0.597092194305878
Beat the Drum for (Something), Speak in favor of something to try to generate support,To publicize or promote something enthusiastically.,0.6936581501530893
Beauty Is Only Skin Deep, External appearance is a superficial basis for judging someone,Physical attractiveness is not necessarily a measure of one's inner qualities.,0.7456260553484212
Bed of Roses, A comfortable situation,A life of ease and luxury.,0.580992921766066
Bedroom Eyes, An expression of the eyes that seems to invite sex,Dreamy eyes.,0.6224241586618957
Bee in One�s Bonnet, Someone who has a bee in their bonnet has an idea which constantly occupies their thoughts.,A persistent idea or thought that won't leave one's mind.,0.7154743733405625
Beggar Thy Neighbor, To do something beneficial for oneself without worrying about how it affects others,Punish Your Neighbor,0.49743169059274694
Behind the Eight (or 8) Ball, At a serious disadvantage,At a disadvantage.,0.9111804853214464
Behind the Scenes, In a way not apparent to the public,Backstage.,0.4646016560820547
Behind the Times, Old-fashioned,Out of touch.,0.4222679911181432
Bell the Cat, Take on a difficult or impossible task,To take the responsibility for doing something difficult or unpopular.,0.7162161825257076
Bells And Whistles, Attractive but unnecessary features of a product,Extra features.,0.6276286173585096
Belly Laugh," Loud, hearty laughter",Stomach laugh.,0.7144121467068879
Bend an Elbow, Drink alcoholic beverages at a tavern,Take a break.,0.45840053894168153
Best (Greatest) Thing Since Sliced Bread, An innovative development,"The best thing since sliced bread.

(Note: This idiom is an exaggeration, implying that something is extremely good or wonderful.)",0.4255225516909045
Best of Both Worlds, Combining two qualities that are usually separate,Having both advantages and disadvantages at the same time.,0.6517326323739384
Bet One�s Bottom Dollar (On Something), Be certain that something will happen,Guarantee it completely.,0.5516305391895553
Bet the Farm, Risk everything; spend all one’s money on something in hopes of success,To bet everything on one outcome.,0.7885476179942807
Better late Than Never, It implies that a belated achievement is better than not reaching a goal at all.,It's better to arrive late than never at all.,0.5610398512776966
Between a Rock and a Hard Place, Caught between two undesirable options,Stuck between two difficult choices.,0.8196465321378715
Between the Devil and the Deep Blue Sea, In a difficult position,Caught between two unpleasant choices.,0.6102506863119479
Beyond the Pale, Too morally or socially extreme to accept,"""Outside the accepted norms or standards; unconventional.""",0.6531334406542407
Beyond the Shadow of a Doubt, Absolutely certain,Completely certain.,0.936451306166061
Big Apple, An informal name for New York City,The Big Apple refers to New York City.,0.7873810741626772
Big Brother," Government, viewed as an intrusive force in the lives of citizens; government spying",A government or organization that exercises total control over its citizens.,0.6956742924928565
Big Cheese, An important person in a company or organization,The Big Cheese = The Most Important Person.,0.699517468088771
Big Deal, An important event or accomplishment,"A big deal is equivalent to ""a major issue"" or ""something important"". 

Translation: No big deal.",0.6476670306193841
Big Fish, An important person,A big shot.,0.48930545916408785
Big Picture, A wide perspective; a broad view of something,The overall situation or context.,0.586900906830475
Big time," If you do something big time, you do it to a great degree.",On a large scale.,0.6919417317180605
Birds of a Feather," People having similar characters, backgrounds, interests, or beliefs.",People who share similar characteristics or interests.,0.8819311945401085
Bird�s-Eye View, A view from above; a broad perspective on something,A comprehensive overview.,0.6483570080966944
Bite Off More Than You Can Chew, Try to do more than one is capable of doing,Take on more responsibility than you can handle.,0.6424945150479209
Bite the Bullet," To do something even though it involves pain, discomfort, or difficulty",Endure a difficult or unpleasant situation.,0.7127282779324355
Bite the Hand That Feeds You, Act badly toward someone who has helped you,To betray someone who has helped you.,0.8168385754016201
Bitter Pill to Swallow, An unpleasant fact that one must accept,Unwelcome truth.,0.6057865389549396
Black and White," A clear distinction between good and bad, positive and negative",Innocent until proven guilty.,0.49704610425039
Black Eye, A mark of shame,A bruise around one's eye.,0.5333839295187957
Black Sheep," A person who does not fit into a group, especially a family",Outcast.,0.5171787167014135
Black-and-Blue," Bruised, showing signs of having been physically harmed","""Beaten up""",0.650195448864116
Blank Check, Permission to spend or do whatever one wishes; carte blanche,Unlimited authority or freedom to act.,0.6768280694266127
Blind Date, When two people who have never seen each other before go on a date,"A blind date is:

""A social engagement between two people who have not previously met, often arranged by others.""",0.77121137834621
Blinded by Love, When a person is so madly in love with somebody that they can’t see the person’s faults or negative characteristics,Love-struck.,0.630373006126814
Blood and Thunder," A dramatic, spectacular performance",Excitement and drama.,0.6699901351914446
Blow Away the Cobwebs," If something blows away the cobwebs, it makes you feel more lively and refreshes your ideas.",Get things moving again.,0.6024200042821228
Blow Hot and Cold, Shift one’s level of enthusiasm repeatedly,Inconsistent in one's behavior or emotions.,0.63210803063225
Blow Off Steam, To express anger and frustration in a way that does no damage,Relieve stress.,0.5544410449850956
